domain_name,unified_sentiment,Sentences_clean,Aspects_clean,Aspects_sentiments_list,Aspects_list
Attractions,0.0,في زيارتي الأخيرة، الفعاليات مقبولة وتمضية وقت ليس إلا. التنظيم سيء جداً وهناك عشوائية في المكان بالإضافة إلى ذلك، التذاكر قيمتها ممتازة وتشمل خيارات كثيرة، كما أن المكان يعتبر جيد لقضاء بعض الوقت,الفعاليات، التنظيم، التذاكر، المكان,"[0, -1, 1, 0]","['الفعاليات', 'التنظيم', 'التذاكر', 'المكان']"
Attractions,1.0,في زيارتي الأخيرة، سعر التذاكر كان متوسطا ومقبولا، كما أن الفعاليات كانت تقليدية ومكررة بالإضافة إلى ذلك، المكان ساحر وجميل جداً للتصوير,التذاكر، الفعاليات، المكان,"[0, 0, 1]","['التذاكر', 'الفعاليات', 'المكان']"
Attractions,0.0,في زيارتي الأخيرة، مساحة المكان وتصميمه مقبول ولا بأس به. والفعاليات مقبولة وتمضية وقت ليس إلا. التذاكر ليست رخيصة ولا غالية بل في المعقول,المكان، الفعاليات، التذاكر,"[0, 0, 0]","['المكان', 'الفعاليات', 'التذاكر']"
Hotels,-1.0,التجربة بشكل عام كانت متفاوتة، الإفطار كان مقبولاً لكنه يفتقر للتنوع وبالنسبة للاستقبال فـ واجهنا بطء شديد ومماطلة من موظفي,الإفطار، الاستقبال,"[0, -1]","['الإفطار', 'الاستقبال']"
Restaurants,0.0,قرأت تقييمات كثيرة وقررت التجربة، الطاولات كانت نظيفة بشكل معتاد. مستوى الخدمة لا بأس به. والسعر كان عاديا وليس مبالغا فيه,النظافة، الخدمة، الأسعار,"[0, 0, 0]","['النظافة', 'الخدمة', 'الأسعار']"
Hotels,-1.0,قمت بتجربة هذا المكان وملاحظاتي هي: طاقم الاستقبال كان عادياً في التعامل أما الغرفة فـ للأسف كانت سيئة وغير نظيفة على الإطلاق,الاستقبال، الغرفة,"[0, -1]","['الاستقبال', 'الغرفة']"
Hotels,-1.0,قرأت تقييمات كثيرة وقررت التجربة، الموقع مقبول ولا بأس به مقارنة بالسعر. بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها. وواجهنا بطء شديد ومماطلة من موظفي الاستقبال,الموقع، الغرفة، الاستقبال,"[0, 0, -1]","['الموقع', 'الغرفة', 'الاستقبال']"
Attractions,1.0,مرتبين جداً والتنظيم احترافي بالإضافة إلى ذلك، الفعاليات مقبولة وتمضية وقت ليس إلا,التنظيم، الفعاليات,"[1, 0]","['التنظيم', 'الفعاليات']"
Hotels,0.0,في زيارتي الأخيرة، الموقع مقبول ولا بأس به مقارنة بالسعر في حين أن الاستقبال كان مقبولا بشكل عام بالإضافة إلى ذلك، بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها، كما أن بالنسبة للإفطار فهو جيد نسبيا كأي فندق آخر,الموقع، الاستقبال، الغرفة، الإفطار,"[0, 0, 0, 0]","['الموقع', 'الاستقبال', 'الغرفة', 'الإفطار']"
Attractions,1.0,التذاكر ليست رخيصة ولا غالية بل في المعقول. ووجهة سياحية رائعة وتستحق الزيارة تكراراً بالإضافة إلى ذلك، الفعاليات كانت تقليدية ومكررة، كما أن مرتبين جداً والتنظيم احترافي,التذاكر، المكان، الفعاليات، التنظيم,"[0, 1, 0, 1]","['التذاكر', 'المكان', 'الفعاليات', 'التنظيم']"
Restaurants,-1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، أسعار المنيو تعتبر طبيعية مقارنة بالمطاعم الأخرى. والمكان متسخ والطاولات غير نظيفة,الأسعار، النظافة,"[0, -1]","['الأسعار', 'النظافة']"
Restaurants,1.0,قمت بتجربة هذا المكان وملاحظاتي هي: الأسعار ممتازة ورخيصة مقارنة بالكمية أما الخدمة فـ في المطعم كانت روتينية,الأسعار، الخدمة,"[1, 0]","['الأسعار', 'الخدمة']"
Hotels,-1.0,التجربة بشكل عام كانت متفاوتة، موظفو الاستقبال قاموا بعملهم بشكل روتيني. والغرفة ضيقة جداً ومكتومة بالإضافة إلى ذلك، موقع المكان عادي ويمكن الوصول إليه بسهولة,الاستقبال، الغرفة، الموقع,"[0, -1, 0]","['الاستقبال', 'الغرفة', 'الموقع']"
Attractions,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، بشكل عام المكان طبيعي كأي حديقة أخرى في حين أن الفعاليات كانت تقليدية ومكررة، كما أن قيمة التذكرة عادية,المكان، الفعاليات، التذاكر,"[0, 0, 0]","['المكان', 'الفعاليات', 'التذاكر']"
Attractions,0.0,التجربة بشكل عام كانت متفاوتة، التنظيم داخل المرفق كان عاديا، كما أن المكان يعتبر جيد لقضاء بعض الوقت,التنظيم، المكان,"[0, 0]","['التنظيم', 'المكان']"
Attractions,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: بشكل عام المكان طبيعي كأي حديقة أخرى. وأسعار الدخول طبيعية مقارنة بالفعاليات. والفعاليات كانت تقليدية ومكررة، كما أن الإدارة والتنظيم بمستوى مقبول,المكان، التذاكر، الفعاليات، التنظيم,"[0, 0, 0, 0]","['المكان', 'التذاكر', 'الفعاليات', 'التنظيم']"
Attractions,0.0,الفعاليات مقبولة وتمضية وقت ليس إلا. لا بأس بالتنظيم بشكل عام وبالنسبة للتذاكر فـ قيمة التذكرة عادية,الفعاليات، التنظيم، التذاكر,"[0, 0, 0]","['الفعاليات', 'التنظيم', 'التذاكر']"
Restaurants,-1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، الخدمة في المطعم كانت روتينية، كما أن الأسعار مبالغ فيها وغالية جداً أما الأكل فـ كان بارداً وطعمه سيء جداً بالإضافة إلى ذلك، المطعم نظيف لحد معقول,الخدمة، الأسعار، الأكل، النظافة,"[0, -1, -1, 0]","['الخدمة', 'الأسعار', 'الأكل', 'النظافة']"
Hotels,-1.0,قمت بتجربة هذا المكان وملاحظاتي هي: موقع الفندق سيء ويصعب الوصول إليه أما الإفطار فـ وجبة كانت عادية ولم تكن مميزة بالإضافة إلى ذلك، أثاث الغرفة يبدو عادياً ليس حديثاً ولا قديماً جداً,الموقع، الإفطار، الغرفة,"[-1, 0, 0]","['الموقع', 'الإفطار', 'الغرفة']"
Hotels,0.0,بوفيه الإفطار مذهل ويحتوي على خيارات رائعة بالإضافة إلى ذلك، واجهنا بطء شديد ومماطلة من موظفي الاستقبال أما الموقع فـ موقع الفندق سيء ويصعب الوصول إليه وبالنسبة للغرفة فـ أعجبتني بنظافتها الفائقة وتصميمها الرائع,الإفطار، الاستقبال، الموقع، الغرفة,"[1, -1, -1, 1]","['الإفطار', 'الاستقبال', 'الموقع', 'الغرفة']"
Hotels,-1.0,في زيارتي الأخيرة، بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها أما الاستقبال فـ تعامل كان جافاً وغير احترافي في حين أن الموقع مقبول ولا بأس به مقارنة بالسعر,الغرفة، الاستقبال، الموقع,"[0, -1, 0]","['الغرفة', 'الاستقبال', 'الموقع']"
Hotels,1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، وجبة الإفطار كانت عادية ولم تكن مميزة بالإضافة إلى ذلك، الغرفة واسعة ومريحة بشكل استثنائي,الإفطار، الغرفة,"[0, 1]","['الإفطار', 'الغرفة']"
Attractions,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: الأنشطة الموجودة لا بأس بها للأطفال بالإضافة إلى ذلك، التنظيم داخل المرفق كان عاديا في حين أن التذاكر ليست رخيصة ولا غالية بل في المعقول، كما أن المكان يعتبر جيد لقضاء بعض الوقت,الفعاليات، التنظيم، التذاكر، المكان,"[0, 0, 0, 0]","['الفعاليات', 'التنظيم', 'التذاكر', 'المكان']"
Hotels,1.0,قرأت تقييمات كثيرة وقررت التجربة، موقع المكان عادي ويمكن الوصول إليه بسهولة. أعجبتني الغرفة بنظافتها الفائقة وتصميمها الرائع,الموقع، الغرفة,"[0, 1]","['الموقع', 'الغرفة']"
Attractions,-1.0,بصراحة، أسعار الدخول طبيعية مقارنة بالفعاليات، كما أن لا توجد فعاليات تذكر والأنشطة سيئة وبالنسبة للمكان فـ يعتبر جيد لقضاء بعض الوقت,التذاكر، الفعاليات، المكان,"[0, -1, 0]","['التذاكر', 'الفعاليات', 'المكان']"
Attractions,0.0,التذاكر قيمتها ممتازة وتشمل خيارات كثيرة، كما أن لا أنصح بزيارة المكان فهو سيء للغاية أما التنظيم فـ لا بأس ب بشكل عام وبالنسبة للفعاليات فـ كانت تقليدية ومكررة,التذاكر، المكان، التنظيم، الفعاليات,"[1, -1, 0, 0]","['التذاكر', 'المكان', 'التنظيم', 'الفعاليات']"
Hotels,1.0,في زيارتي الأخيرة، ترحيب حار جداً من طاقم الاستقبال. مساحة الغرفة كانت متوسطة كما توقعنا أما الإفطار فـ بوفيه كان تقليدياً ويقدم أصنافاً معتادة,الاستقبال، الغرفة، الإفطار,"[1, 0, 0]","['الاستقبال', 'الغرفة', 'الإفطار']"
Hotels,0.0,بالنسبة للإفطار فهو جيد نسبيا كأي فندق آخر. والموقع بعيد جداً ومقطوع عن الخدمات. وإجراءات الدخول في الاستقبال كانت طبيعية ولم تستغرق وقتا طويلا أو قصيرا، كما أن بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها,الإفطار، الموقع، الاستقبال، الغرفة,"[0, -1, 0, 0]","['الإفطار', 'الموقع', 'الاستقبال', 'الغرفة']"
Restaurants,1.0,قمت بتجربة هذا المكان وملاحظاتي هي: سرعة الخدمة كانت في المعدل الطبيعي والمقبول بالإضافة إلى ذلك، نظافة المطعم ممتازة جداً,الخدمة، النظافة,"[0, 1]","['الخدمة', 'النظافة']"
Hotels,0.0,قرأت تقييمات كثيرة وقررت التجربة، بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها. وموظفو الاستقبال قاموا بعملهم بشكل روتيني أما الإفطار فـ بالنسبة للإفطار فهو جيد نسبيا كأي فندق آخر، كما أن الموقع مقبول ولا بأس به مقارنة بالسعر,الغرفة، الاستقبال، الإفطار، الموقع,"[0, 0, 0, 0]","['الغرفة', 'الاستقبال', 'الإفطار', 'الموقع']"
Attractions,-1.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، التنظيم سيء جداً وهناك عشوائية في المكان أما التذاكر فـ سعر كان متوسطا ومقبولا,التنظيم، التذاكر,"[-1, 0]","['التنظيم', 'التذاكر']"
Attractions,1.0,قمت بتجربة هذا المكان وملاحظاتي هي: أسعار التذاكر رخيصة جداً ومناسبة للجميع. الأنشطة الموجودة لا بأس بها للأطفال. والتنظيم داخل المرفق كان عاديا,التذاكر، الفعاليات، التنظيم,"[1, 0, 0]","['التذاكر', 'الفعاليات', 'التنظيم']"
Restaurants,0.0,نظافة المكان بشكل عام كانت مقبولة أما الأسعار فالسعر كان عاديا وليس مبالغا فيه، كما أن الأكل كان بارداً وطعمه سيء جداً بالإضافة إلى ذلك، سرعة الخدمة كانت في المعدل الطبيعي والمقبول,النظافة، الأسعار، الأكل، الخدمة,"[0, 0, -1, 0]","['النظافة', 'الأسعار', 'الأكل', 'الخدمة']"
Hotels,-1.0,الإفطار سيء جداً والخيارات محدودة وبالنسبة للغرفة فـ كانت عادية وتفي بالغرض، كما أن الموقع لا يتميز بشيء خاص ولكنه مناسب,الإفطار، الغرفة، الموقع,"[-1, 0, 0]","['الإفطار', 'الغرفة', 'الموقع']"
Hotels,1.0,بالنسبة للإفطار فهو جيد نسبيا كأي فندق آخر أما الغرفة فـ بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها. موظفو الاستقبال في قمة الرقي والتعاون,الإفطار، الغرفة، الاستقبال,"[0, 0, 1]","['الإفطار', 'الغرفة', 'الاستقبال']"
Restaurants,0.0,في زيارتي الأخيرة، الأسعار كانت متوسطة ومناسبة لجودة المكان، كما أن الطاولات كانت نظيفة بشكل معتاد,الأسعار، النظافة,"[0, 0]","['الأسعار', 'النظافة']"
Restaurants,0.0,في زيارتي الأخيرة، نظافة المكان بشكل عام كانت مقبولة في حين أن مستوى الخدمة لا بأس به أما الأكل فالطلبات كانت متوسطة المستوى ولا بأس بها,النظافة، الخدمة، الأكل,"[0, 0, 0]","['النظافة', 'الخدمة', 'الأكل']"
Hotels,1.0,بصراحة، وجبة الإفطار كانت عادية ولم تكن مميزة وبالنسبة للغرفة فـ بالنسبة للغرفة فهي بمستوى طبيعي ولا بأس بها، كما أن ترحيب حار جداً من طاقم الاستقبال,الإفطار، الغرفة، الاستقبال,"[0, 0, 1]","['الإفطار', 'الغرفة', 'الاستقبال']"
Attractions,0.0,التجربة بشكل عام كانت متفاوتة، الأنشطة الموجودة لا بأس بها للأطفال أما التنظيم فـ ترتيب الدخول كان يسير بشكل طبيعي في حين أن الوجهة كانت عادية ولم تبهرني كثيراً وبالنسبة للتذاكر فـ أسعار الدخول طبيعية مقارنة بالفعاليات,الفعاليات، التنظيم، المكان، التذاكر,"[0, 0, 0, 0]","['الفعاليات', 'التنظيم', 'المكان', 'التذاكر']"
Hotels,0.0,في زيارتي الأخيرة، الغرفة ضيقة جداً ومكتومة في حين أن الإفطار كان لذيذاً ومتنوعاً جداً. موقع الفندق يعتبر متوسطا من حيث القرب للخدمات أما الاستقبال فـ موظفو قاموا بعملهم بشكل روتيني,الغرفة، الإفطار، الموقع، الاستقبال,"[-1, 1, 0, 0]","['الغرفة', 'الإفطار', 'الموقع', 'الاستقبال']"
Restaurants,1.0,في زيارتي الأخيرة، المكان يلمع من النظافة والاهتمام بالتفاصيل وبالنسبة للأسعار فالمطعم غالي بشكل مبالغ فيه ولا يستحق أما الأكل فـ كل الأطباق كانت مطبوخة باحترافية وطعمها خيال,النظافة، الأسعار، الأكل,"[1, -1, 1]","['النظافة', 'الأسعار', 'الأكل']"
Restaurants,0.0,قرأت تقييمات كثيرة وقررت التجربة، السعر كان عاديا وليس مبالغا فيه أما النظافة فـ مستوى عادي ولا بأس به، كما أن الخدمة في المطعم كانت روتينية,الأسعار، النظافة، الخدمة,"[0, 0, 0]","['الأسعار', 'النظافة', 'الخدمة']"
Attractions,0.0,قرأت تقييمات كثيرة وقررت التجربة، مساحة المكان وتصميمه مقبول ولا بأس به. والفعاليات كانت تقليدية ومكررة. وقيمة التذكرة عادية,المكان، الفعاليات، التذاكر,"[0, 0, 0]","['المكان', 'الفعاليات', 'التذاكر']"
Attractions,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: الفعاليات مقبولة وتمضية وقت ليس إلا بالإضافة إلى ذلك، أسعار الدخول طبيعية مقارنة بالفعاليات,الفعاليات، التذاكر,"[0, 0]","['الفعاليات', 'التذاكر']"
Attractions,0.0,في زيارتي الأخيرة، لا بأس بالتنظيم بشكل عام في حين أن مساحة المكان وتصميمه مقبول ولا بأس به في حين أن العروض المقدمة كانت في المستوى الطبيعي وبالنسبة للتذاكر فـ قيمة التذكرة عادية,التنظيم، المكان، الفعاليات، التذاكر,"[0, 0, 0, 0]","['التنظيم', 'المكان', 'الفعاليات', 'التذاكر']"
Restaurants,1.0,التجربة بشكل عام كانت متفاوتة، الأكل كان لذيذاً جداً وأنصح به بشدة، كما أن الطاولات كانت نظيفة بشكل معتاد,الأكل، النظافة,"[1, 0]","['الأكل', 'النظافة']"
Attractions,0.0,قمت بتجربة هذا المكان وملاحظاتي هي: لا بأس بالتنظيم بشكل عام في حين أن الفعاليات مقبولة وتمضية وقت ليس إلا أما المكان فـ يعتبر جيد لقضاء بعض الوقت,التنظيم، الفعاليات، المكان,"[0, 0, 0]","['التنظيم', 'الفعاليات', 'المكان']"
Attractions,0.0,قرأت تقييمات كثيرة وقررت التجربة، الوجهة كانت عادية ولم تبهرني كثيراً، كما أن أسعار الدخول طبيعية مقارنة بالفعاليات,المكان، التذاكر,"[0, 0]","['المكان', 'التذاكر']"
Restaurants,-1.0,قرأت تقييمات كثيرة وقررت التجربة، الأكل كان بارداً وطعمه سيء جداً في حين أن الخدمة في المطعم كانت روتينية. وبالنسبة للأسعار فهي مقبولة إلى حد ما,الأكل، الخدمة، الأسعار,"[-1, 0, 0]","['الأكل', 'الخدمة', 'الأسعار']"
Attractions,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، الإدارة والتنظيم بمستوى مقبول وبالنسبة للتذاكر فـ أسعار الدخول طبيعية مقارنة بالفعاليات. وبشكل عام المكان طبيعي كأي حديقة أخرى,التنظيم، التذاكر، المكان,"[0, 0, 0]","['التنظيم', 'التذاكر', 'المكان']"
Attractions,0.0,خلال عطلة نهاية الأسبوع ذهبنا إلى هناك، ترتيب الدخول كان يسير بشكل طبيعي في حين أن المكان يعتبر جيد لقضاء بعض الوقت,التنظيم، المكان,"[0, 0]","['التنظيم', 'المكان']"
